postsNum,followersNum,followingNum,hasLocation,AtUserNum,AtUserPostsNum,AtUserFollowerNum,AtUserFollowingNum,hashTagNum,hashTagPostsNum,likeNum
7691,1200000,1994,0,7,13390,94801970,6094,1,0,11412
7691,1200000,1994,0,4,6876,238001700,3838,1,0,9912
7691,1200000,1994,0,0,0,0,0,1,0,4403
7691,1200000,1994,0,3,318,216000789,4621,1,0,19284
7691,1200000,1994,0,3,117,700,1172,1,0,18714
7691,1200000,1994,0,0,0,0,0,1,0,11743
7691,1200000,1994,0,0,0,0,0,1,0,6861
7691,1200000,1994,0,9,1391,6050,6007,1,0,8104
7691,1200000,1994,0,1,2343,10800000,739,1,0,7830
7691,1200000,1994,0,7,1999,10201047,1182,1,0,5940
7691,1200000,1994,0,6,17357,33601816,7098,1,0,19453
7691,1200000,1994,0,16,3770,10406227,10773,1,0,8815
7691,1200000,1994,0,1,54,1247,3360,0,0,2718
7691,1200000,1994,0,5,2620,18322,3885,0,0,3534
7691,1200000,1994,0,1,2424,847000,1336,0,0,1884
7691,1200000,1994,0,7,14001,101002258,5083,0,0,12434
7691,1200000,1994,0,2,1227,974,868,0,0,4446
7691,1200000,1994,0,7,2035,38751,4491,0,0,32619
7691,1200000,1994,0,15,3731,1207018,14791,0,0,10610
7691,1200000,1994,0,11,11922,285258074,9217,0,0,29434
7691,1200000,1994,0,2,7817,1200372,3188,1,0,1704
2301,436000,295,0,10,18869,3531271,5061,3,0,15135
2301,436000,295,0,1,2301,436000,295,1,0,32110
2301,436000,295,0,13,6123,446248,10832,1,0,52574
2301,436000,295,0,16,16505,3439246,5707,1,0,2532
2301,436000,295,0,12,25574,6036093,4540,1,0,11298
2301,436000,295,0,0,0,0,0,1,0,8192
2301,436000,295,0,4,5953,613808,3187,3,0,7870
2301,436000,295,0,9,12510,2829263,5459,1,0,4115
2301,436000,295,0,6,8804,1050535,4783,0,0,13743
2301,436000,295,0,3,6903,1308000,885,3,0,21588
2301,436000,295,0,4,13452,1454000,1921,2,0,39940
2301,436000,295,0,9,10931,1864217,5193,3,0,90826
2301,436000,295,0,3,6903,1308000,885,2,0,6971
2301,436000,295,0,5,5453,872608,3947,2,0,9884
2301,436000,295,0,7,18611,9380479,3013,0,0,12473
2301,436000,295,0,4,6903,1308069,885,2,0,5056
2301,436000,295,0,3,2248,1210,2379,2,0,29739
2301,436000,295,0,6,8085,873100,3054,2,0,18468
2301,436000,295,0,18,15890,701448,11686,3,0,11058
2301,436000,295,0,4,8006,1314993,2819,0,0,6916
2301,436000,295,0,9,15828,875550,8290,0,0,3117
2301,436000,295,0,1,2301,436000,295,0,0,6636
2301,436000,295,0,6,9361,1310462,8810,2,0,3608
1517,250000,1146,1,26,15613,8159227,15678,0,0,11592
1517,250000,1146,0,13,11837,1528034,11868,0,0,18416
1517,250000,1146,0,1,1517,250000,1146,1,0,11445
1517,250000,1146,1,6,6765,1001767,8445,0,0,17243
1517,250000,1146,1,3,4312,252071,3265,0,0,17469
1517,250000,1146,1,4,6565,277896,5974,0,0,10727
1517,250000,1146,0,12,11269,1034516,11653,0,0,15566
1517,250000,1146,1,6,3966,943391,5422,0,0,20823
1517,250000,1146,1,9,4963,546194,7723,6,0,17924
1517,250000,1146,1,10,6821,548490,8983,0,0,10803
1517,250000,1146,1,14,10109,1084582,12315,3,0,13129
1517,250000,1146,1,9,8924,1030978,9647,0,0,6467
1517,250000,1146,1,19,12700,1009849,8571,0,0,10616
